"id","name","sku","description","sale_price","discount_price","purchase_price","wholesale_price","stock","category","brand","barcode","ciudad_sucursal","photo_url_1","photo_url_2","photo_url_3","photo_url_4","photo_url_5","photo_url_6","photo_url_7","photo_url_8","created_at"
"156","UGREEN WEBCAM 1080P CON MICRÓFONO FULL HD USB","15728","*UGREEN Webcam 1080P con Micrófono Full HD USB*
La webcam UGREEN Full HD 1080P ofrece una calidad de imagen nítida y fluida para videollamadas, transmisiones y conferencias. Equipada con un micrófono integrado con cancelación de ruido y un amplio ángulo de visión de 85°, garantiza una experiencia de comunicación clara y profesional. Su función de corrección automática de luz y el sistema Plug & Play la convierten en una cámara lista para usar en segundos.

*Características destacadas:*
• Resolución Full HD 1080P para video claro y definido
• Micrófono integrado con reducción de ruido ambiental
• Campo de visión amplio de 85° ideal para reuniones grupales
• Corrección automática de luz para entornos con poca iluminación
• Conexión USB Plug & Play sin necesidad de controladores
• Compatible con soportes, trípodes y monitores

*Compatibilidad:*
• Aplicaciones de videollamadas y streaming: Zoom, Skype, Teams, YouTube, OBS y más
• Sistemas operativos Windows, macOS, Linux y ChromeOS
• Consolas y dispositivos compatibles como Nintendo Switch

*Ideal para:*
• Videollamadas profesionales y reuniones en línea
• Streaming en plataformas como YouTube, Twitch o Facebook Live
• Clases virtuales y educación a distancia
• Usuarios que buscan una cámara confiable y fácil de usar
","360.00","330.00","296.00","320.00","2","Audio & Video","UGREEN","","Santa Cruz","https://lh3.googleusercontent.com/d/1ZODzp5cuSeK4iPUKcrzidr4PTQUGjMJJ=w1000?authuser=0","https://lh3.googleusercontent.com/d/1KVpe7lxp1Vk0xpx45DBOuL0BIRwUYX3M=w1000?authuser=0","https://lh3.googleusercontent.com/d/1czjl1_Ryjz3rv4qZ2f1wRtgsvdXauRfX=w1000?authuser=0","https://lh3.googleusercontent.com/d/1vE6lWkJb5sHzSRstFONNCSU52xcoetpe=w1000?authuser=0","https://lh3.googleusercontent.com/d/15TVF5FhM1a-regsTEqNa9LGKbFpUPony=w1000?authuser=0","https://lh3.googleusercontent.com/d/1bt7-EveC1-AbL9psDcH0YO2Ejuott8Y5=w1000?authuser=0","https://lh3.googleusercontent.com/d/1HKX9ZllibYfdE5NM4IHt1oc9UsGWzfmM=w1000?authuser=0","https://lh3.googleusercontent.com/d/1XWZeOXCNmJYf3cV8MyFBl6MEVcwhUq-d=w1000?authuser=0","2025-10-30 11:35:48.083493+00"
"157","AMAZON BASICS CABLE DISPLAYPORT 1.4 DE 1.8M","ASP6","*AMAZON BASICS CABLE DISPLAYPORT 1.4 DE 1.8M – 8K@60HZ Y 4K@120HZ*
El cable DisplayPort 1.4 de Amazon Basics ofrece una conexión de alta velocidad y calidad superior para monitores y dispositivos compatibles. Con soporte para resoluciones de hasta 8K a 60Hz y 4K a 120Hz, HDR dinámico y 3D, es ideal para gamers, diseñadores y profesionales que necesitan la mejor calidad de imagen. Sus conectores chapados en oro garantizan una señal estable y mayor durabilidad.

*Características:*
Longitud: 1.8 metros (180cm).
Ancho de banda de 32.4Gbps para transmisiones rápidas y estables.
Soporte para resoluciones 8K@60Hz y 4K@120Hz.
Compatible con HDR dinámico y contenido 3D.
Conectores chapados en oro para una mejor conexión.
Diseño resistente y duradero.

*Beneficios:*
Máxima calidad de imagen y sonido para monitores de alta gama.
Conexión estable y sin interferencias.
Ideal para gaming, diseño gráfico, edición de video y uso profesional.","120.00",,,,"0","Cables & Conectores","AMAZON","","Santa Cruz","https://lh3.googleusercontent.com/d/1fnP_9A2jyDC16UX2TEb2uDF5l7YNR6YV=w1000?authuser=0","https://lh3.googleusercontent.com/d/1Y-WgGBSj2JL3frZ6fWFXVsO54d57VQg0=w1000?authuser=0","https://lh3.googleusercontent.com/d/1jCFCJq-TQc6OQGFKr_jA3Dg3Kk5uFg_o=w1000?authuser=0","https://lh3.googleusercontent.com/d/1Y8Z2yB4IF3lBnfHEk2G91kLe0Rve2OXE=w1000?authuser=0","https://lh3.googleusercontent.com/d/1p8o1GxYykgznJTfT4dTk292LSap6iyr0=w1000?authuser=0","https://lh3.googleusercontent.com/d/1Co9hYRMlNrQOESyehbRYnyM6_MwZ71Q1=w1000?authuser=0","https://lh3.googleusercontent.com/d/1FXMPjKq_HrbgNe_cLIEFMhTIqLwOqeN9=w1000?authuser=0",,"2025-10-30 11:35:48.083493+00"
"158","UGREEN NEXODE ROBOT GaN RG 30W USB-C CHARGER (Kawaii Purple)","25036","*UGREEN NEXODE ROBOT GaN RG 30W USB-C CHARGER (Kawaii Purple)*  

Potencia, estilo y tecnología se combinan en el cargador UGREEN Nexode Robot GaN RG de 30W. Con un diseño moderno y divertido en colores Pink y Blue, ofrece carga rápida y segura gracias a la tecnología GaN, ideal para smartphones, tablets y otros dispositivos USB-C.  

*CARACTERÍSTICAS:*  
• Potencia de salida máxima de 30W con tecnología GaN  
• Puerto USB-C con soporte para Power Delivery 3.0 y Quick Charge 4.0  
• Diseño tipo robot, compacto y moderno  
• Protección avanzada contra sobrecalentamiento, sobrecarga y cortocircuitos  
• Disponible en colores Pink y Blue  

*COMPATIBILIDAD:*  
• iPhone 17 / 16 / 15 Series  
• Samsung Galaxy S25 / S24 / S23  
• Google Pixel 10 / 9 / 8  
• iPad, AirPods y otros dispositivos con USB-C  

*BENEFICIOS:*  
• Carga rápida y eficiente con tecnología de vanguardia  
• Diseño original que combina funcionalidad y estilo  
• Ideal para viajes, oficina o uso diario  

¡Cargá con estilo y potencia con el UGREEN Nexode Robot GaN RG 30W!
","275.00","220.00","176.00",,"1","Cargadores","UGREEN","","Santa Cruz","https://lh3.googleusercontent.com/d/11MgbT6sOxfDpGHLizTkEU3hgG_YNsNy5=w1000?authuser=0","https://lh3.googleusercontent.com/d/1fcRjrGjTMPPUDlHlAUI9Ghx1WJA4R2EZ=w1000?authuser=0","https://lh3.googleusercontent.com/d/1SQMZLIItH1m_6ZI7a7tkOXPmrBzVdwvI=w1000?authuser=0","https://lh3.googleusercontent.com/d/1SvJIEEBWze57PzE45b8Gpuz7OvLMKc0v=w1000?authuser=0","https://lh3.googleusercontent.com/d/1lQ-BcHYZ8bWGvetoLHTHVL-dBtrlL6oE=w1000?authuser=0","https://lh3.googleusercontent.com/d/11Z4uKSEf0UZ2nd8W9WnI-6UsVJswUZoh=w1000?authuser=0","https://lh3.googleusercontent.com/d/1d0O5PTDJ7bRRUfMrEEWlLVshRCW1-8af=w1000?authuser=0",,"2025-10-30 11:35:48.083493+00"
"159","UGREEN HUB USB C 6 EN 1 UNO CON HDMI 4K 60HZ Y PUERTOS 10GBPS","35998","*UGREEN Hub USB-C 6 en 1 con HDMI 4K 60Hz y puertos 10Gbps*
El UGREEN Hub USB-C 6 en 1 expande las posibilidades de tu dispositivo con múltiples puertos de alta velocidad y gran calidad de imagen. Incorpora un puerto HDMI 4K@60Hz para pantallas externas, puertos USB-C y USB-A de 10Gbps para transferencia de datos ultrarrápida, además de ranuras adicionales para mejorar tu productividad. Diseñado en un cuerpo compacto y elegante, es ideal para MacBook, iPad, Surface, XPS, ThinkPad y otros dispositivos con puerto USB-C.

*Características destacadas:*
• 6 funciones en 1: HDMI 4K@60Hz, USB-C 10Gbps, USB-A 10Gbps y más
• Transmisión de video Ultra HD 4K fluida y estable
• Transferencia de datos ultrarrápida hasta 10Gbps
• Diseño compacto y portátil, ideal para trabajo y viajes
• Construcción robusta con acabado premium para mayor durabilidad
• Compatible con Power Delivery para carga rápida (según dispositivo)

*Compatibilidad:*
• MacBook Pro / MacBook Air
• iPad Pro / iPad Air con USB-C
• Laptops con USB-C: Surface, Dell XPS, Lenovo ThinkPad, HP, ASUS y más
• Monitores y televisores con entrada HDMI 4K

*Ideal para:*
• Profesionales que necesitan conectar varios dispositivos a la vez
• Usuarios que trabajan con pantallas externas en alta definición
• Estudiantes y trabajadores en movilidad que requieren versatilidad
• Creadores de contenido que necesitan velocidad en transferencias y calidad de video
","420.00","400.00","340.00","370.00","4","Hubs & Adaptadores","UGREEN","6941876239986","Santa Cruz","https://lh3.googleusercontent.com/d/1JAwxtgL8O_VeCDj4-z32gWsbOKPeuFqV=w1000?authuser=0","https://lh3.googleusercontent.com/d/1tftzFHobGURmHvfcgfaPqNfc0ScCaldb=w1000?authuser=0","https://lh3.googleusercontent.com/d/1Et9Mhxh6oNpgsz2P64QHYsIOMVGyv6lL=w1000?authuser=0","https://lh3.googleusercontent.com/d/1-10A6jxBVY2cW8Qi87TjCJclhv-mmPIC=w1000?authuser=0","https://lh3.googleusercontent.com/d/1rKYjhXyH_l7NUbJC9FNXqq4ndo8LMph8=w1000?authuser=0","https://lh3.googleusercontent.com/d/1ZEY6Nclr8e6YadUdobjqzvLzbIw5VJZh=w1000?authuser=0","https://lh3.googleusercontent.com/d/1o25oQCAR8FxbxPfMs1Oqi_2o-HrWHNhc=w1000?authuser=0","https://lh3.googleusercontent.com/d/1NysEb3ZgxRo6lXWoOMD1bF_--5yimBwB=w1000?authuser=0","2025-10-30 11:35:48.083493+00"
"160","UGREEN CARGADOR USB C 100W NEXODE 4 PUERTOS GAN","45514B","*UGREEN CARGADOR USB C 100W NEXODE 4 PUERTOS GAN COMPACTO*
El cargador UGREEN Nexode de 100W con tecnología GaN ofrece potencia máxima en un diseño compacto y portátil. Con sus 4 puertos (USB-C y USB-A) permite cargar varios dispositivos al mismo tiempo con eficiencia y seguridad. Ideal para MacBook, iPad, iPhone, Samsung, Pixel, consolas y más, este adaptador inteligente ajusta automáticamente la potencia de salida para optimizar la carga de cada dispositivo.

*CARACTERÍSTICAS DESTACADAS:*
• Potencia máxima de 100W con tecnología Power Delivery 3.0 y PPS
• 4 puertos de salida (USB-C y USB-A) para carga simultánea
• Tecnología GaN que reduce el tamaño y mejora la eficiencia energética
• Distribución inteligente de energía según el dispositivo conectado
• Diseño compacto y ligero, ideal para viajes y oficina
• Protección avanzada contra sobrecarga, sobrecalentamiento y cortocircuitos

*COMPATIBILIDAD:*
• MacBook Pro / MacBook Air
• iPad Pro / iPad Air / iPad Mini
• iPhone 16 Pro / 15 / 14 / 13
• Samsung Galaxy S24 Ultra / S23 / Note series
• Google Pixel 9 y modelos anteriores
• Consolas portátiles como Steam Deck y ASUS ROG Ally

*IDEAL PARA:*
• Usuarios que necesitan cargar varios dispositivos a la vez
• Profesionales que requieren potencia y portabilidad
• Viajes, oficina y uso diario
• Reemplazo de cargadores grandes y menos eficientes
","700.00","660.00","500.00","750.00","3","Cargadores","UGREEN","123456678913","Santa Cruz","https://lh3.googleusercontent.com/d/1BbW9nVWQ1WYdl4V7LTQOiaWuFnu4OEb5=w1000?authuser=0","https://lh3.googleusercontent.com/d/1fPDEhJmxgCLomZeAXwfZWmmCBeXk6OVC=w1000?authuser=0","https://lh3.googleusercontent.com/d/1M_-aM5IdB2OLWIHSGs5zMJ5pHH48-mbS=w1000?authuser=0","https://lh3.googleusercontent.com/d/1DvIddOiz7MktxgjHwVWVcAdgAP615Ejy=w1000?authuser=0","https://lh3.googleusercontent.com/d/108MevCF95TzT9lCAuyHsj4OMue7Iv3C-=w1000?authuser=0","https://lh3.googleusercontent.com/d/1gpsYtyEauIFJsOP-l1lwMUtSe3hMLVev=w1000?authuser=0","https://lh3.googleusercontent.com/d/1keOOFsaE1d-QJVmUgGzUDWXGxI6ne4Y0=w1000?authuser=0","https://lh3.googleusercontent.com/d/1p3_n3RuAf_UVZc78PdBFXQwT3XMM827P=w1000?authuser=0","2025-10-30 11:35:48.083493+00"
"161","BOLSO BANDOLERA CROSSBODY","ASP3","*BOLSO BANDOLERA CROSSBODY*

El bolso bandolera crossbody combina estilo, practicidad y comodidad en un diseño liviano y resistente, ideal para uso diario, viajes o actividades al aire libre. Fabricado con materiales duraderos e impermeables, ofrece amplio espacio y múltiples compartimentos para mantener tus pertenencias organizadas.

*ESPECIFICACIONES:*
• Material: Nylon + Poliéster
• Colores disponibles: Gris, Celeste, Rosa Pastel, Azul Marino
• Cierre: Cremallera
• Tamaño: Aprox. 28cm x 9cm x 25cm (11.02"" x 3.54"" x 9.84"")
• Correa ajustable para el hombro: 120cm (3.94 pies)

*CARACTERÍSTICAS DESTACADAS:*
• Fabricado en nylon y poliéster resistente, duradero e impermeable
• Liviano y cómodo para llevar todo el día
• Diseño simple y elegante en colores sólidos
• Múltiples compartimentos para fácil organización
• Puede usarse como bolso de hombro, bandolera o bolso de viaje
• Espacio suficiente para teléfono, billetera, llaves, pasaporte y más

*NOTAS:*
• Compara las medidas antes de realizar la compra
• El color puede variar ligeramente según la iluminación y la pantalla
• Las dimensiones pueden variar levemente por medición manual

*INCLUYE:*
• 1 x Bolso de viaje
","150.00","110.00","60.00","80.00","10","Mochilas & Fundas","Marca blanca","123345676523265852363","Santa Cruz","https://lh3.googleusercontent.com/d/1sa_4yLCDePdA9COoLORp68GmvOI8SPXK=w1000?authuser=0","https://lh3.googleusercontent.com/d/1VCmEqg77_-QxNX-zT3lwzkDjerXcMnon=w1000?authuser=0","https://lh3.googleusercontent.com/d/1-JKc6IoI7OvDiMjAL2o3mMw3hYICs3qj=w1000?authuser=0","https://lh3.googleusercontent.com/d/1ydiKoYzbvmXG-hp7KbIoZ89AZBB9pN5F=w1000?authuser=0","https://lh3.googleusercontent.com/d/1L2OFtfjtg9X2H8T_LnWPgFWgE0tB6WI-=w1000?authuser=0","https://lh3.googleusercontent.com/d/1YUGKI1HJCiGf7L-yuvZ2QwPlQ39RDKW4=w1000?authuser=0","https://lh3.googleusercontent.com/d/1Elzm_ykdcQPZThZI9QHdUiTc8ed1qEbV=w1000?authuser=0","https://lh3.googleusercontent.com/d/1l26uZlVMgo7z3nAVsZPwYls4_I1WhyfV=w1000?authuser=0","2025-10-30 11:35:48.083493+00"
"162","CABLE UGREEN USB C de 60W PD (white)","60518","*UGREEN Cable de Carga Rápida Reforzado USB-C a USB-C 60W*
El cable UGREEN USB-C a USB-C ofrece carga rápida y estable con hasta 60W de potencia. Su diseño reforzado con materiales de alta durabilidad garantiza resistencia al uso diario, evitando enredos y roturas. Ideal para cargar y transferir datos en laptops, tablets y smartphones con puerto USB-C.

*Características destacadas:*
• Soporta carga rápida hasta 60W (20V/3A) con Power Delivery.
• Construcción reforzada y materiales de alta resistencia.
• Transmisión de datos estable a 480 Mbps.
• Compatible con cargadores, laptops, tablets y smartphones USB-C.
• Diseño flexible y anti-enredos para mayor comodidad.

*Compatibilidad:*
• MacBook Air / MacBook Pro
• iPad Pro / iPad Air con puerto USB-C
• Samsung Galaxy S24 / S23 / Note Series
• Google Pixel, Xiaomi, Huawei y otros con USB-C
• Nintendo Switch y dispositivos con carga Power Delivery hasta 60W

*Ideal para:*
• Usuarios que buscan un cable resistente y confiable para uso diario.
• Profesionales que necesitan carga rápida en laptops y tablets.
• Viajes, oficina y reemplazo de cables frágiles o de baja calidad.
","75.00",,"31.00","50.00","0","Cables & Conectores","UGREEN","6957303865185","Santa Cruz","https://lh3.googleusercontent.com/d/1gGA0r8m6LCoEwhPA7tfFifHZOPCV60lG=w1000?authuser=0","https://lh3.googleusercontent.com/d/1b6yP-KkGKDkdyS9ldaZSlCXYKabmMdnK=w1000?authuser=0","https://lh3.googleusercontent.com/d/17XfGxHl9x32-QPd8TSbFQurrxnAemwQT=w1000?authuser=0","https://lh3.googleusercontent.com/d/1iqOcVh4X7NqIYrIA6lg8Vh9ZBPxrTrU5=w1000?authuser=0","https://lh3.googleusercontent.com/d/1Ss_SC9YhVDkc8or6PB0xOxG8Zfhf2pVR=w1000?authuser=0","https://lh3.googleusercontent.com/d/1C2zYG-nha6qVf0J1Q9DaW16Qb1SnwFzz=w1000?authuser=0",,,"2025-10-30 11:35:48.083493+00"
"163","POWER BANK BASEUS 10000MAH 15W","ASP16","*BASEUS Power Bank 10000mAh 15W Bipow con Pantalla Digital*
Carga tus dispositivos en cualquier lugar con este power bank compacto y potente. Con una capacidad de 10,000mAh y salida de carga rápida de 15W, es ideal para mantener tu smartphone, tablet u otros dispositivos cargados durante todo el día. Incluye una pantalla digital que muestra con precisión el nivel de batería restante para mayor comodidad.

*Características destacadas:*
• Capacidad de 10,000mAh para múltiples cargas
• Salida de carga rápida de 15W
• Pantalla digital que indica el nivel de batería
• Diseño compacto, ligero y portátil

*Compatibilidad:*
• Smartphones Android y iPhone
• Tablets y iPads
• Dispositivos con entrada USB-A o USB-C
• Auriculares, accesorios y otros gadgets portátiles

*Ideal para:*
• Usuarios que necesitan energía adicional en el día a día
• Viajes, oficina y uso en movimiento
• Mantener dispositivos siempre listos para usar
• Reemplazo de cargadores tradicionales en situaciones móviles
","280.00",,"150.00","200.00","0","Powerbanks","BASEUS","123235FGSDR5656555","Santa Cruz","https://lh3.googleusercontent.com/d/1iFRrUJaay_t0W9iVZ3L-QJ5GFpHeBJf9=w1000?authuser=0","https://lh3.googleusercontent.com/d/1RgrHcvxFSJvcjmQoa3nM4AAws-GOukeF=w1000?authuser=0","https://lh3.googleusercontent.com/d/1OU3mw4UoV6um58maYnFkSAI0sTL-6S-m=w1000?authuser=0","https://lh3.googleusercontent.com/d/1qcvRKrMcCvPuvrgAH7qNWmiFi7rqQcJZ=w1000?authuser=0","https://lh3.googleusercontent.com/d/1vC0sduzmsbXHaVX12EK-LgsOETVckzVM=w1000?authuser=0","https://lh3.googleusercontent.com/d/1r0MBrpkzlmjHpgVrI8LXKkbmQuoRKbt_=w1000?authuser=0",,,"2025-10-30 11:35:48.083493+00"
"164","CABLE UGREEN USB C A C 100W CARGA RÁPIDA 2 METROS","45063","*Cable UGREEN USB-C a USB-C 100W Carga Rápida 2 Metros*
El cable UGREEN USB-C a USB-C de 100W está diseñado para ofrecer carga súper rápida y transmisión de datos confiable en todo momento. Con una longitud de 2 metros, brinda el equilibrio ideal entre comodidad y practicidad, perfecto para el hogar, la oficina o viajes. Compatible con iPhone 15/15 Pro/15 Pro Max y una amplia gama de dispositivos con puerto USB-C, es la solución ideal para quienes buscan potencia, seguridad y durabilidad en un solo cable.

*Características destacadas:*
• Potencia de carga de hasta 100W (20V/5A) con tecnología PD (Power Delivery)
• Cable de 2 metros práctico y cómodo para cualquier entorno
• Conector USB-C a USB-C de alta velocidad y larga duración
• Transferencia de datos estable y segura
• Fabricado con materiales resistentes para mayor durabilidad

*Compatibilidad:*
• iPhone 15 / 15 Pro / 15 Pro Max
• MacBook Pro, MacBook Air, iPad Pro
• Smartphones y tablets con puerto USB-C (Samsung, Xiaomi, Huawei, Google Pixel y más)
• Laptops y dispositivos con carga rápida USB-C (Dell, Lenovo, HP, ASUS, etc.)

*Ideal para:*
• Carga rápida de smartphones, tablets y laptops
• Uso diario en casa, oficina o viajes
• Profesionales y estudiantes que necesitan eficiencia y seguridad
• Usuarios que buscan un cable resistente, duradero y confiable
","220.00",,"155.00",,"5","Cables & Conectores","UGREEN","sdfg522523211","Santa Cruz","https://lh3.googleusercontent.com/d/189S7cj0VX53cZzOV3YsySJHNXNh2WNQF=w1000?authuser=0","https://lh3.googleusercontent.com/d/1-9f7INUAIsYQV-fhdjEI0tCaHPZnmHvp=w1000?authuser=0","https://lh3.googleusercontent.com/d/1mTqyMi6JCtgEf3MCec8qNRYRfyvMOB46=w1000?authuser=0","https://lh3.googleusercontent.com/d/16jhzbezxwptxJfFdljPEf3ciwAP7gS3Y=w1000?authuser=0","https://lh3.googleusercontent.com/d/1aqXcKw8zPlt2MLWgP1KNikdL99IkmLye=w1000?authuser=0","https://lh3.googleusercontent.com/d/1dmA_CRx1xP2viR3aUFixAQJOwHWQJxlj=w1000?authuser=0","https://lh3.googleusercontent.com/d/1cANHkDNviZaYL0-Vd86O4NgjLh_UofHS=w1000?authuser=0","https://lh3.googleusercontent.com/d/16UItGKt50H9B5P_WzjZj3canmnOF1gHA=w1000?authuser=0","2025-10-30 11:35:48.083493+00"
"165","UGREEN POWER BANK MAGNÉTICO 20W 10000 mAh","15086","*UGREEN Power Bank Magnético 10,000mAh 20W con Soporte Plegable y MagSafe*
La batería portátil UGREEN de 10,000mAh es la solución perfecta para cargar tu iPhone y otros dispositivos de forma rápida, cómoda y sin cables. Diseñada con tecnología MagSafe, ofrece una experiencia magnética estable y eficiente para modelos compatibles.

*Características destacadas:*
• Capacidad de 10,000mAh para múltiples cargas
• Carga inalámbrica magnética (MagSafe) de hasta 15W
• Puerto USB-C PD de 20W y USB-A para carga rápida
• Soporte plegable incorporado para uso vertical u horizontal
• Indicador LED de batería
• Compatible con fundas MagSafe

*Compatibilidad:*
• iPhone 16 / 15 / 15 Pro / 15 Pro Max
• Otros dispositivos con carga inalámbrica Qi
• Smartphones y tablets vía USB-C o USB-A

*Ideal para:*
• Cargar tu iPhone de manera inalámbrica, segura y sin esfuerzo
• Usuarios que buscan portabilidad y versatilidad en un solo power bank
• Viajes, oficina y uso diario
• Videollamadas y entretenimiento gracias al soporte plegable
","600.00","550.00","390.00","510.00","1","Powerbanks","UGREEN","","Santa Cruz","https://lh3.googleusercontent.com/d/1WollNccEyYXeK3ov9QmHNoLGwuzP2whV=w1000?authuser=0","https://lh3.googleusercontent.com/d/1gk9UsLcyI5bDSei3xCHOaiySkP5lzf7d=w1000?authuser=0","https://lh3.googleusercontent.com/d/1KHpMYiBdO4lcJPqJ5FyLxCzMzAk75rm0=w1000?authuser=0","https://lh3.googleusercontent.com/d/1kaZLSnLHCBFDjMIkqDU7LJlx_NbD6s2D=w1000?authuser=0","https://lh3.googleusercontent.com/d/1ZxQglW_W0ud4WZTaCL3Tyqu2ZyK4ISE6=w1000?authuser=0","https://lh3.googleusercontent.com/d/1YzmVesW5GjR3jYP-jnWibIQ_U3R2ZVHj=w1000?authuser=0","https://lh3.googleusercontent.com/d/10MXO9wkNeUw_4ud_GNyCtZS4U3XVaDG4=w1000?authuser=0","https://lh3.googleusercontent.com/d/1djqxDKzd_542lebi5Xdj1blo-nlpPKuR=w1000?authuser=0","2025-10-30 11:35:48.083493+00"
